39394,250580,GDD,852
5860,210445,AAI,1131
33055,450038,BFI,1101
56405,110888,AIF,1049
5894,201827,GFH,697
47860,19494,CFG,728
661,70318,IGF,547
48290,41321,FAE,1497
19341,22422,ADH,173
14614,335060,CEI,147
45905,473246,GAE,1434
57319,444298,GBH,567
51777,138684,FCC,229
14111,244715,IGA,1500
13763,321110,GII,503
37682,248175,GDG,1206
365,302964,CGG,92
47406,150654,FBI,315
43319,241995,FBH,1454
51829,412353,EDD,410
710,484457,FHA,1438
46650,327579,HIB,340
5909,461147,FHC,1002
54410,92647,FCC,162
35048,142103,DIH,1416
32707,152590,BBI,1447
32129,274662,GBD,1070
56788,293699,HFF,1406
31576,355853,GCG,1266
674,217373,CGH,345
8881,322506,HGA,1262
36581,451384,CAH,99
58966,23519,CGF,275
54836,424068,ADB,1147
3628,450340,CBG,319
13653,193349,ICH,1223
28528,389531,EFI,1280
26182,10453,BIH,520
40240,360330,GCH,531
11731,34081,CFE,1081
53129,59113,AAF,380
13277,247452,DAG,1251
43978,239841,FHG,88
11657,472380,HBC,264
49558,366729,GFF,998
16502,302429,FHH,451
45868,123838,EBC,616
54503,373621,EBG,335
22460,11112,AID,300
3162,465386,DDG,907
10837,391818,CAA,610
52512,136884,EGE,1058
41368,240757,EGB,1447
21213,91896,EGF,1260
33533,23268,FGC,189
22450,467843,EDF,1378
5910,73483,DBA,24
4132,226457,BAG,146
29322,36871,HDB,80
18484,102192,EDG,350
49700,61490,AFD,370
26450,432978,DAI,1344
38189,418131,IBG,1374
4263,51482,CAF,1331
2505,469293,DGC,904
38872,375176,BAH,650
436,297550,EFC,570
48618,373396,HHD,441
7202,416008,AGI,1395
16393,158940,IID,820
27749,177185,GED,20
22176,101773,HFG,1145
37314,45658,CCE,452
8712,371048,IDC,1317
44159,117144,BGB,339
56429,308172,FIH,712
6620,129515,ICD,1314
409,124147,AAE,448
21037,485504,FCD,403
29618,306243,FDD,1377
13094,172926,HEE,367
42829,246483,FDD,81
35575,145131,AID,1471
9746,252924,CCG,1150
20964,95690,DHC,1030
44880,36629,CHC,690
34550,299039,CDG,1012
54717,346214,EEG,510
55157,379723,EFA,8
18952,238327,AAG,337
32880,142195,GDE,683
20858,468265,AIE,555
38231,230599,HEB,587
21251,78516,FAA,928
36433,472061,IAA,429
54765,474519,EDG,1190
36140,280519,IEH,434
22086,352774,GFD,1190
25120,492696,ICG,498
18678,384856,DIE,993
6793,169314,IDE,583
25743,136610,FGA,759
16744,207880,CHD,682
50997,490962,IFE,126
24825,477337,FFC,974
8223,248414,IGE,600
1444,37483,BGF,348
56808,355605,FAD,427
10970,449380,FEF,1129
50438,90366,CFG,1123
39781,108222,BEF,848
25141,344015,HHG,780
56901,242262,HED,714
30639,447209,BEE,422
41460,64934,DAG,1086
23649,195258,GCD,837
24686,50269,IIA,404
7513,229540,AID,446
3009,221666,DHF,1040
41471,212303,IBH,1342
7597,412373,ECH,1103
44625,8128,IEE,1150
34670,423134,BBI,1195
5684,423385,EBC,1019
428,282960,FEG,1223
15899,498764,EFA,806
56597,116518,BDG,1286
27075,44347,EGI,863
37650,53763,HBH,306
34297,423240,FGD,107
22165,341052,FCI,940
29927,251780,CIA,616
42445,148794,AEH,1416
3879,391336,CIF,537
55656,128531,HDG,1193
11587,160126,IIE,798
32676,76255,ACD,273
4829,121003,BII,1159
24320,171636,HGB,990
2655,482298,FFC,327
2949,411733,BAE,1184
5589,439464,GHB,1042
33956,58837,BIC,666
9952,142942,BFF,577
54961,105490,FEH,1395
55495,86537,CCD,920
50404,394697,GAI,507
45526,106135,DGG,89
6862,253167,GCA,981
55314,373245,IGG,483
59921,222507,GCB,812
44396,375115,ADE,1202
35525,43999,DFG,469
48632,233627,IBG,799
44157,342482,GBE,1497
48258,20565,IEH,436
52560,3420,HGH,1338
50790,145647,AIA,1361
18873,373115,HAB,38
18829,196024,EEE,1251
57663,377917,AIF,578
33953,288241,EHD,100
34026,235828,HDA,1136
27301,404166,HEA,580
26255,69078,DBB,1427
29179,145743,FGF,905
48621,153695,GCC,251
20998,286012,AGI,28
50721,410967,DFA,1382
15412,68312,DGB,761
13483,243775,FID,649
27457,416529,ICD,661
36944,300299,AAD,1034
18828,47484,HCI,1034
1950,349494,IBE,902
18799,4662,GHI,482
26259,232370,CFC,160
32507,169554,AFH,710
1315,404546,DHG,1186
37693,13483,HDI,965
42607,167223,HEF,485
38398,366260,HAG,62
51404,342896,DHH,1028
10169,36969,GGG,401
13410,350306,ABB,1348
1168,192090,HHH,1173
35854,370774,HHF,1027
20477,293839,CEH,309
10900,239648,IGA,948
35962,420525,CBG,665
53574,295921,FGA,1299
53091,325916,GAB,1252
1873,47579,IHF,1176
21064,267640,DHF,1150
32328,66867,DIF,1318
12364,418681,DAA,642
34295,89089,DID,398
22919,20741,HDA,20
34976,210685,BBE,1453
5325,394973,EGE,1401
9309,141111,GBA,1387
48601,272042,AHG,658
48631,471406,FFE,909
58059,269205,AAH,1304
19174,357380,IAB,426
20422,332922,AEI,386
3896,143205,CCG,902
29502,289042,ADF,863
9811,451932,GCG,1391
19135,232875,DGA,199
5940,362460,GHB,245
19776,134137,IGG,1252
3210,360945,HGA,429
9817,489026,FGE,792
18935,470951,HBF,123
23396,487345,DHB,50
32671,417273,IIH,1097
43702,66946,CDH,798
2894,488721,FAH,147
34356,342733,EGF,932
27825,224890,BIG,1104
25897,141476,EFH,1365
54493,239529,DID,865
20208,266791,CAD,915
16568,401432,AGG,517
39906,407406,BFI,332
38412,254331,CCH,1164
17377,384384,GDI,377
25847,166044,BDB,539
17219,284064,AED,1175
42390,238882,HEE,556
51184,119324,HGG,1225
24813,387038,EDD,641
16709,405262,EEH,235
50387,130309,CAH,598
5302,180839,EIA,939
53380,169104,BIA,1075
20576,286512,ABD,917
23857,84412,ECC,673
28244,451775,EII,90
3820,353356,FDF,1415
16894,15051,IIF,1053
21735,130460,GAE,1130
59080,302062,EGC,490
3775,425014,ADB,477
102,214951,DHB,1051
25761,203400,BCD,1208
50718,421728,DGF,249
25570,273275,EAD,589
9117,399441,AFB,178
14942,314659,DBA,386
15525,41739,ABE,760
25299,25724,GCE,1340
5715,135584,ACE,1439
15598,252124,EBC,256
1112,387919,HEA,485
39925,285621,ECD,510
27536,212524,DFH,1000
16559,407395,BIA,138
39479,393449,IGF,887
43629,34464,HFD,1028
6766,223801,HGI,1400
29594,114059,DAF,108
20790,78687,BAG,410
13498,224435,FGE,359
26118,146565,GIC,1043
58181,244482,DDB,724
15838,93519,IEH,1101
1118,175684,CFA,1297
17609,126008,CCC,930
52990,254556,GFG,602
50942,206982,HCH,1255
11539,311849,HIE,1191
27700,251981,HGA,574
16561,385798,IIG,628
15159,21571,HDE,363
43283,13787,FBI,677
18660,146441,IEI,1270
30804,332387,DFH,1392
19493,385461,IIC,155
5670,446220,FHG,500
38726,165306,HIA,8
25292,356982,GEB,556
57198,374785,GFG,642
42879,114808,ABB,509
16876,456223,EAH,343
35795,93545,GEA,629
27467,320168,CIB,1302
4629,142136,CHE,1428
16591,4907,IDE,1341
35094,107939,DEB,1201
27353,156887,IGD,880
47867,310170,ABD,436
51834,146936,CIB,1451
28120,197690,BCB,453
32238,386335,FHC,219
47402,303958,BFC,588
19555,319229,FIA,696
58787,401079,BAB,775
29999,147884,EAH,105
51049,306666,IED,27
6359,75974,GGC,30
3842,252643,AIF,61
3527,314804,AFC,1271
21829,139525,DAC,1370
